pair_id,target
11691,False
11692,True
11693,True
11694,True
11695,True
11696,False
11697,False
11698,False
11699,True
11700,False
11701,True
11702,False
11703,False
11704,True
11705,False
11706,False
11707,True
11708,False
11709,True
11710,False
11711,True
11712,True
11713,False
11714,True
11715,False
11716,False
11717,False
11718,True
11719,True
11720,True
11721,False
11722,False
11723,True
11724,False
11725,False
11726,False
11727,False
11728,False
11729,False
11730,False
11731,True
11732,True
11733,True
11734,True
11735,False
11736,False
11737,True
11738,False
11739,False
11740,True
11741,False
11742,True
11743,False
11744,True
11745,False
11746,False
11747,True
11748,False
11749,True
11750,True
11751,False
11752,True
11753,False
11754,False
11755,False
11756,False
11757,False
11758,True
11759,True
11760,True
11761,False
11762,True
11763,True
11764,True
11765,False
11766,True
11767,False
11768,False
11769,False
11770,True
11771,False
11772,False
11773,True
11774,False
11775,False
11776,True
11777,False
11778,False
11779,True
11780,True
11781,False
11782,True
11783,True
11784,False
11785,True
11786,True
11787,False
11788,False
11789,False
11790,False
11791,False
11792,False
11793,False
11794,False
11795,False
11796,True
11797,True
11798,False
11799,False
11800,True
11801,False
11802,False
11803,False
11804,False
11805,False
11806,False
11807,True
11808,False
11809,True
11810,True
11811,False
11812,False
11813,True
11814,False
11815,True
11816,True
11817,True
11818,False
11819,False
11820,False
11821,False
11822,False
11823,False
11824,False
11825,False
11826,False
11827,False
11828,False
11829,False
11830,False
11831,False
11832,True
11833,False
11834,False
11835,False
11836,False
11837,False
11838,False
11839,False
11840,True
11841,False
11842,False
11843,False
11844,False
11845,False
11846,False
11847,False
11848,False
11849,False
11850,False
11851,False
11852,False
11853,True
11854,True
11855,False
11856,True
11857,False
11858,False
11859,False
11860,False
11861,False
11862,False
11863,False
11864,False
11865,False
11866,False
11867,False
11868,True
11869,True
11870,True
11871,True
11872,False
11873,True
11874,False
11875,True
11876,False
11877,True
11878,True
11879,False
11880,False
11881,True
11882,False
11883,True
11884,True
11885,True
11886,True
11887,True
11888,False
11889,False
11890,False
11891,True
11892,False
11893,True
11894,False
11895,False
11896,False
11897,False
11898,True
11899,False
11900,True
11901,False
11902,False
11903,True
11904,False
11905,False
11906,True
11907,False
11908,False
11909,False
11910,True
11911,False
11912,False
11913,True
11914,False
11915,False
11916,True
11917,False
11918,False
11919,True
11920,False
11921,False
11922,False
11923,False
11924,False
11925,False
11926,False
11927,False
11928,False
11929,False
11930,True
11931,False
11932,False
11933,False
11934,False
11935,True
11936,False
11937,False
11938,False
11939,False
11940,True
11941,False
11942,False
11943,False
11944,False
11945,False
11946,False
11947,False
11948,False
11949,False
11950,False
11951,True
11952,False
11953,False
11954,False
11955,True
11956,False
11957,False
11958,False
11959,False
11960,True
11961,False
11962,False
11963,False
11964,False
11965,True
11966,False
11967,False
11968,False
11969,True
11970,False
11971,False
11972,False
11973,False
